method,thresh1,thresh2,thresh,threshNr
interval,10,0,10,1
interval,15,0,15,2
interval,20,0,20,3
interval,25,0,25,4
interval,30,0,30,5
local,2,10,10,1
local,2,28,28,2
local,2,46,46,3
local,2,64,64,4
local,2,82,82,5
nonlocal,0,20,20,1
nonlocal,0,34,34,2
nonlocal,0,48,48,3
nonlocal,0,62,62,4
nonlocal,0,76,76,5
1D,0.1,0,0.1,1
1D,5.1,0,5.1,2
1D,10.1,0,10.1,3
1D,15.1,0,15.1,4
1D,20.1,0,20.1,5
corridor,0.1,0,0.1,1
corridor,0.6,0,0.6,2
corridor,1.1,0,1.1,3
corridor,1.6,0,1.6,4
corridor,2.1,0,2.1,5
DP,0.2,0,0.2,1
DP,0.7,0,0.7,2
DP,1.2,0,1.2,3
DP,1.7,0,1.7,4
DP,2.2,0,2.2,5
TPA,10,1,1,1
TPA,10,11,11,2
TPA,10,21,21,3
TPA,10,31,31,4
TPA,10,41,41,5
CPT,0.05,15,15,1
CPT,0.05,26,26,2
CPT,0.05,38,38,3
CPT,0.05,49,49,4
CPT,0.05,60,60,5
MRPA,1,0,1,1
MRPA,2,0,2,2
MRPA,3,0,3,3
MRPA,4,0,4,4
MRPA,5,0,5,5
VW,10,0,10,1
VW,15,0,15,2
VW,20,0,20,3
VW,25,0,25,4
VW,30,0,30,5
